Beast,CR,CR#,Basic Familiar,Beast Companion,Size,XP,AC,HP,Speed,Fly,Swim,Skills,Senses,Ability1,Ability2,Ability3,Ability4,Multiattack,Attack1,Attack2,Combat Notes,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Environment,Alignment,Language,SourceMaterial,MM Description
Giant Constrictor Snake,2,2,FALSE,FALSE,Huge,450,12,60 (8d12 + 8),"30 ft., swim 30 ft.",FALSE,TRUE,Perception +2,"Blindsight 10 ft., Passive Perception 12",none,none,none,none,none,"Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one creature. Hit: 11 (2d6 + 4) piercing damage.","Constrict. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 13 (2d8 + 4) bludgeoning damage, and the target is grappled (escape DC 16). Until this grapple ends, the creature is restrained, and the snake can't constrict another target.","grapple, restrain",19 (+4),14 (+2),12 (+1),1 (?5),10 (+0),3 (?4),,"Desert,Forest,Swamp,UnderDark,Underwater",Unaligned,none,Monster Manual,
Giant Crab,1/8th,0.125,FALSE,TRUE,Medium,25,15,13 (3d8),"30 ft., swim 30 ft.",FALSE,TRUE,Stealth +4,"Blindsight 30 ft., Passive Perception 9",Amphibious. The crab can breathe air and water.,none,none,none,none,"Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage, and the target is grappled (escape DC 11). The crab has two claws, each of which can grapple only one target.",none,grapple,13 (+1),15 (+2),11 (+0),1 (?5),9 (?1),3 (?4),,Coast,Unaligned,none,Monster Manual,
Giant Crocodile,5,5,FALSE,FALSE,Huge,1800,14,85 (9d12 + 27),"30 ft., swim 50 ft.",FALSE,TRUE,Stealth +5,Passive Perception 10,Hold Breath. The crocodile can hold its breath for 30 minutes.,none,none,none,Multiattack. The crocodile makes two attacks: one with its bite and one with its tail.,"Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 21 (3d10 + 5) piercing damage, and the target is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the crocodile can't bite another target.","Tail. Melee Weapon Attack: +8 to hit, reach 10 ft., one target not grappled by the crocodile. Hit: 14 (2d8 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 16 Strength saving throw or be knocked prone.","grapple, restrain, prone",21 (+5)9 (?1)17 (+3)2 (?4)10 (+0)7 (?2),tbd,tbd,tbd,tbd,tbd,,Swamp,Unaligned,none,Monster Manual,
Giant Eagle,1,1,FALSE,FALSE,Large,200,13,26 (4d10 + 4),"10 ft., fly 80 ft.",TRUE,FALSE,Perception +4,Passive Perception 14-19,Keen Sight. The eagle has advantage on Wisdom (Perception) checks that rely on sight.,none,none,none,Multiattack. The eagle makes two attacks: one with its beak and one with its talons.,"Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",none,16 (+3),17 (+3),13 (+1),8 (?1),14 (+2),10 (+0),,"Coast,Grassland,Mountain",NG,"Languages Giant Eagle, understands Common and Auran but can't speak them",Monster Manual,
Giant Elk,2,2,FALSE,FALSE,Huge,450,14,42 (5d12 + 10),60 ft.,FALSE,FALSE,Perception +4,Passive Perception 14,"Charge. If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.",none,none,none,none,"Ram. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.","Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one prone creature. Hit: 22 (4d8 + 4) bludgeoning damage.",prone,19 (+4),16 (+3),14 (+2),7 (?2),14 (+2),10 (+0),,"Forest,Grassland,Hill,Mountain",Unaligned,"Languages Giant Elk, understands Common, Elvish, and Sylvan but can't speak them",Monster Manual,
Giant Fire Beetle,0,0,FALSE,TRUE,Small,10,13,4 (1d6 + 1),30 ft.,FALSE,FALSE,none,"Blindsight 30 ft., Passive Perception 8",Illumination. The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 feet.,none,none,none,none,"Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 ? 1) slashing damage.",none,none,8 (?1),10 (+0),12 (+1),1 (?5),7 (?2),3 (?4),,UnderDark,Unaligned,none,Monster Manual,
Giant Fly,0,0,FALSE,TRUE,Large,10,11,19 (3d10+3),"30 ft., fly 60 ft.",TRUE,FALSE,none,"Passive Perception 10, Darkvision 60 ft.",none,none,none,none,none,none,none,none,14 (+2),13 (+1),13 (+1),2 (-4),10 (0),3 (-4),,tbd,Unaligned,none,Monster Manual,
Giant Frog,1/4th,0.25,FALSE,TRUE,Medium,50,11,18 (4d8),"30 ft., swim 30 ft.",FALSE,TRUE,"Perception +2, Stealth +3","Darkvision 30 ft., Passive Perception 12",Amphibious. The frog can breathe air and water.,"Standing Leap. The frog's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.",none,none,none,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage, and the target is grappled (escape DC 11). Until this grapple ends, the target is restrained, and the frog can't bite another target.","Swallow. The frog makes one bite attack against a Small or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the frog, and it takes 5 (2d4) acid damage at the start of each of the frog's turns. The frog can have only one target swallowed at a time. If the frog dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.","grapple, restrain, swallow, cover, blind, prone",12 (+1),13 (+1),11 (+0),2 (?4),10 (+0),3 (?4),,"Forest,Swamp",Unaligned,none,Monster Manual,
Giant Goat,1/2nd,0.5,FALSE,FALSE,Large,100,11,19 (3d10 + 3),40 ft.,FALSE,FALSE,none,Passive Perception 11,"Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 5 (2d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.,none,none,none,"Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) bludgeoning damage.",none,prone,17 (+3),11 (+0),12 (+1),3 (?4),12 (+1),6 (?2),,"Grassland,Hill,Mountain",Unaligned,none,Monster Manual,
Giant Hyena,1,1,FALSE,FALSE,Large,200,12,45 (6d10 + 12),50 ft.,FALSE,FALSE,Perception +3,Passive Perception 13,"Rampage. When the hyena reduces a creature to 0 hit points with a melee attack on its turn, the hyena can take a bonus action to move up to half its speed and make a bite attack.",none,none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage.",none,none,16 (+3),14 (+2),14 (+2),2 (?4),12 (+1),7 (?2),,"Desert,Forest,Grassland,Hill",Unaligned,none,Monster Manual,
Giant Lizard,1/4th,0.25,FALSE,TRUE,Large,50,12,9 (3d10 + 3),"30 ft., climb 30 ft.",FALSE,FALSE,none,"Darkvision 30 ft., Passive Perception 10",none,none,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",none,none,15 (+2),12 (+1),13 (+1),2 (?4),10 (+0),5 (?3),,"Coast,Desert,Forest,Swamp,UnderDark",Unaligned,none,Monster Manual,
Giant Octopus,1,1,FALSE,FALSE,Large,200,11,52 (8d10 + 8),"10 ft., swim 60 ft.",FALSE,TRUE,"Perception +4, Stealth +5","Darkvision 60 ft., Passive Perception 14","Hold Breath. While out of water, the octopus can hold its breath for 1 hour.",Underwater Camouflage. The octopus has advantage on Dexterity (Stealth) checks made while underwater. Water Breathing. The octopus can breathe only underwater.,none,none,none,"Tentacles. Melee Weapon Attack: +5 to hit, reach 15 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage. If the target is a creature, it is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the octopus can't use its tentacles on another target.","Ink Cloud (Recharges after a Short or Long Rest). A 20- foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.","grapple, restrain, obscure",17 (+3),13 (+1),13 (+1),4 (?3),10 (+0),4 (?3),,Underwater,Unaligned,none,Monster Manual,
Giant Owl,1/4th,0.25,FALSE,TRUE,Large,50,12,19 (3d10 + 3),"5 ft., fly 60 ft.",TRUE,FALSE,"Perception +5, Stealth +4","Darkvision 120 ft., Passive Perception 15-20",Flyby. The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach.,Keen Hearing and Sight. The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.,none,none,none,"Talons. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 8 (2d6 + 1) slashing damage.",none,none,13 (+1),15 (+2),12 (+1),8 (?1),13 (+1),10 (+0),,"Arctic,Forest,Hill",N,"Languages Giant Owl, understands Common, Elvish, and Sylvan but can't speak them",Monster Manual,
Giant Poisonous Snake,1/4th,0.25,FALSE,TRUE,Medium,50,14,11 (2d8 + 2),"30 ft., swim 30 ft.",FALSE,TRUE,Perception +2,"Blindsight 10 ft., Passive Perception 12",none,none,none,none,none,"Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 6 (1d4 + 4) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.",none,none,10 (+0),18 (+4),13 (+1),2 (?4),10 (+0),3 (?4),,"Desert,Forest,Grassland,Swamp,UnderDark",Unaligned,none,Monster Manual,
Giant Rat,1/8th,0.125,FALSE,TRUE,Small,25,12,7 (2d6),30 ft.,FALSE,FALSE,none,"Passive Perception 10-15, Darkvision 60 ft.",Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell.,Pack Tactics. The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated.,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",none,none,7 (?2),15 (+2),11 (+0),2 (?4),10 (+0),4 (?3),,"Forest,Swamp,UnderDark",Unaligned,none,Monster Manual,
Giant Rat (Diseased),1/8th,0.125,FALSE,TRUE,Small,25,12,7 (2d6),30 ft.,FALSE,FALSE,none,"Darkvision 60 ft., Passive Perception 10-15",Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell.,Pack Tactics. The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated.,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. If the target is a creature, it must succeed on a DC 10 Constitution saving throw or contract a disease. Until the disease is cured, the target can't regain hit points except by magical means, and the target's hit point maximum decreases by 3 (1d6) every 24 hours. If the target's hit point maximum drops to 0 as a result of this disease, the target dies.",none,"disease, hp manipulation",7 (?2),15 (+2),11 (+0),2 (?4),10 (+0),4 (?3),,"Forest,Swamp,UnderDark",Unaligned,none,Monster Manual,
Giant Scorpion,3,3,FALSE,FALSE,Large,700,15,52 (7d10 + 14),40 ft.,FALSE,FALSE,none,"Blindsight 60 ft., Passive Perception 9",none,none,none,none,Multiattack. The scorpion makes three attacks: two with its claws and one with its sting.,"Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) bludgeoning damage, and the target is grappled (escape DC 12). The scorpion has two claws, each of which can grapple only one target.","Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target must make a DC 12 Constitution saving throw, taking 22 (4d10) poison damage on a failed save, or half as much damage on a successful one.",grapple,15 (+2),13 (+1),15 (+2),1 (?5),9 (?1),3 (?4),,Desert,Unaligned,none,Monster Manual,Steeders are giant spiders that are native to the Underdark. Duergar breed and use these beasts as humans do horses. Females are larger than males.
Giant Sea Horse,1/2nd,0.5,FALSE,FALSE,Large,100,13,16 (3d10),"0 ft., swim 40 ft.",FALSE,TRUE,none,Passive Perception 11,"Charge. If the sea horse moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) bludgeoning damage. It the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.",Water Breathing. The sea horse can breathe only underwater.,none,none,none,"Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.",none,prone,12 (+1),15 (+2),11 (+0),2 (?4),12 (+1),5 (?3),,Underwater,Unaligned,none,Monster Manual,
Giant Shark,5,5,FALSE,FALSE,Huge,1800,13,126 (11d12 + 55),"0 ft., swim 50 ft.",FALSE,TRUE,Perception +3,"Blindsight 60 ft., Passive Perception 13",Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points.,Water Breathing. The shark can breathe only underwater.,none,none,none,"Bite. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 22 (3d10 + 6) piercing damage.",none,none,23 (+6),11 (+0),21 (+5),1 (?5),10 (+0),5 (?3),,Underwater,Unaligned,none,Monster Manual,
Giant Spider,1,1,FALSE,FALSE,Large,200,14,26 (4d10 + 4),"30 ft., climb 30 ft.",FALSE,FALSE,Stealth +7,"Blindsight 10 ft., Darkvision 60 ft., Passive Perception 10","Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.",Web Walker. The spider ignores movement restrictions caused by webbing.,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.","Web (Recharge 5�6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).","stabilize, poison, paralyze",14 (+2),16 (+3),12 (+1),2 (?4),11 (+0),4 (?3),,"Desert,Forest,Swamp,UnderDark",Unaligned,none,Monster Manual,
Giant Toad,1,1,FALSE,FALSE,Large,200,11,39 (6d10 + 6),"20 ft., swim 40 ft.",FALSE,TRUE,none,"Darkvision 30 ft., Passive Perception 10","Amphibious. The toad can breathe air and water. Standing Leap. The toad's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.",none,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 5 (1d10) poison damage, and the target is grappled (escape DC 13). Until this grapple ends, the target is restrained, and the toad can't bite another target.","Swallow. The toad makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the toad, and it takes 10 (3d6) acid damage at the start of each of the toad's turns. The toad can have only one target swallowed at a time. If the toad dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.","grapple, restrain, swallow, cover, blind, prone",15 (+2),13 (+1),13 (+1),2 (?4),10 (+0),3 (?4),,"Coast,Desert,Forest,Swamp,UnderDark",Unaligned,none,Monster Manual,
Giant Vulture,1,1,FALSE,FALSE,Large,200,10,22 (3d10 + 6),"10 ft., fly 60 ft.",TRUE,FALSE,Perception +3,Passive Perception 13-18,Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell.,Pack Tactics. The vulture has advantage on an attack roll against a creature if at least one of the vulture�s allies is within 5 ft. of the creature and the ally isn�t incapacitated.,none,none,Multiattack. The vulture makes two attacks: one with its beak and one with its talons.,"Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.","Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.",none,15 (+2),10 (+0),15 (+2),6 (?2),12 (+1),7 (?2),,"Desert,Grassland",NE,Languages understands Common but can't speak,Monster Manual,
Giant Wasp,1/2nd,0.5,FALSE,FALSE,Medium,100,12,13 (3d8),"10 ft., fly 50 ft.",TRUE,FALSE,none,Passive Perception 10,none,none,none,none,none,"Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.",none,"stabilize, poison, paralyze",10 (+0),14 (+2),10 (+0),1 (?5),10 (+0),3 (?4),,"Forest,Grassland",Unaligned,none,Monster Manual,
Giant Weasel,1/8th,0.125,FALSE,TRUE,Medium,25,13,9 (2d8),40 ft.,FALSE,FALSE,"Perception +3, Stealth +5","Darkvision 60 ft., Passive Perception 13-18",Keen Hearing and Smell. The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell.,none,none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.",none,none,11 (+0),16 (+3),10 (+0),4 (?3),12 (+1),5 (?3),,"Forest,Grassland,Hill",Unaligned,none,Monster Manual,
Giant Wolf Spider,1/4th,0.25,FALSE,TRUE,Medium,50,13,11 (2d8 + 2),"40 ft., climb 40 ft.",FALSE,FALSE,"Perception +3, Stealth +7","Blindsight 10 ft., Darkvision 60 ft., Passive Perception 13","Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.",Web Walker. The spider ignores movement restrictions caused by webbing.,none,none,none,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 7 (2d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.",none,"stabilize, poison, paralyze",12 (+1),16 (+3),13 (+1),3 (?4),12 (+1),4 (?3),,"Coast,Desert,Forest,Grassland,Hill",Unaligned,none,Monster Manual,
Goat,0,0,FALSE,TRUE,Medium,10,10,4 (1d8),40 ft.,FALSE,FALSE,none,Passive Perception 10,"Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 10 Strength saving throw or be knocked prone.",Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.,none,none,none,"Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.",none,prone,12 (+1),10 (+0),11 (+0),2 (?4),10 (+0),5 (?3),,"Grassland,Hill,Mountain",Unaligned,none,Monster Manual,
Hadrosaurus,1/4th,0.25,FALSE,TRUE,Large,50,11,19 (3d10+3),40 ft.,FALSE,FALSE,Perception +2,Passive Perception 12,none,none,none,none,none,"Tail. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10+2) bludgeoning damage.",none,none,15 (+2),10 (0),13 (+1),2 (-4),10 (0),5 (-3),,"Grassland,Swamp",Unaligned,none,Volo's Guide,
Hawk,0,0,TRUE,TRUE,Tiny,10,13,1 (1d4 ? 1),"10 ft., fly 60 ft.",TRUE,FALSE,Perception +4,Passive Perception 14-19,Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight.,none,none,none,none,"Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",none,none,5 (?3),16 (+3),8 (?1),2 (?4),14 (+2),6 (?2),,"Coast,Grassland,Hill,Mountain",Unaligned,none,Monster Manual,
Hulking Crab,5,5,FALSE,FALSE,Huge,1800,17,76 (8d12+24),"20 ft., swim 30 ft.",FALSE,TRUE,Stealth +2,"Passive Perception 10, Blindsight 30 ft.",Amphibious. The crab can breathe air and water.,"Shell Camouflage. While the crab remains motionless with it�s eyestalks and pincers tucked close to it�s body, it resembles a natural formation or a pile of detritus. A creature within 30 feet of it can discren its true nature with a successful DC 15 intelligence (Nature) check.",none,none,Multiattack. The crab makes two attacks with its claws.,"Claw. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 20 (3d10+4) bludgeoning damage, and the target is grappled (escape DC 15). The crab has two claws, each of which can grapple only one target.",none,grapple,19 (+4),8 (-1),16 (+3),3 (-4),11 (0),3 (-4),,"Coastal,Swamp,Underwater",Unaligned,none,Storm King's Thunder,
Hunter Shark,2,2,FALSE,FALSE,Large,450,12,45 (6d10 + 12),"0 ft., swim 40 ft.",FALSE,TRUE,Perception +2,"Blindsight 30 ft., Passive Perception 12",Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points.,Water Breathing. The shark can breathe only underwater.,none,none,none,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.",none,none,18 (+4),13 (+1),15 (+2),1 (?5),10 (+0),4 (?3),,Underwater,Unaligned,none,Monster Manual,
Hyena,0,0,FALSE,TRUE,Medium,10,11,5 (1d8 + 1),50 ft.,FALSE,FALSE,Perception +3,Passive Perception 13,Pack Tactics. The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally isn't incapacitated.,none,none,none,none,"Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.",none,none,11 (+0),13 (+1),12 (+1),2 (?4),12 (+1),5 (?3),,"Desert,Forest,Grassland,Hill",Unaligned,none,Monster Manual,
Jackal,0,0,FALSE,TRUE,Small,10,12,3 (1d6),40 ft.,FALSE,FALSE,Perception +3,Passive Perception 13-18,Keen Hearing and Smell. The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell.,Pack Tactics. The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 feet of the creature and the ally isn't incapacitated.,none,none,none,"Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 � 1) piercing damage.",none,none,8 (?1),15 (+2),11 (+0),3 (?4),12 (+1),6 (?2),,"Desert,Grassland",Unaligned,none,Monster Manual,
Killer Whale,3,3,FALSE,FALSE,Huge,700,12,90 (12d12 + 12),"0 ft., swim 60 ft.",FALSE,TRUE,Perception +3,"Blindsight 120 ft., Passive Perception 13-18",Echolocation. The whale can't use its blindsight while deafened.,Hold Breath. The whale can hold its breath for 30 minutes.,Keen Hearing. The whale has advantage on Wisdom (Perception) checks that rely on hearing.,none,none,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 21 (5d6 + 4) piercing damage.",none,none,19 (+4),10 (+0),13 (+1),3 (?4),12 (+1),7 (?2),,Underwater,Unaligned,none,Monster Manual,
Lion,1,1,FALSE,FALSE,Large,200,12,26 (4d10 + 4),50 ft.,FALSE,FALSE,"Perception +3, Stealth +6",Passive Perception 13-18,Keen Smell. The lion has advantage on Wisdom (Perception) checks that rely on smell.,Pack Tactics. The lion has advantage on an attack roll against a creature if at least one of the lion�s allies is within 5 ft. of the creature and the ally isn�t incapacitated.,"Pounce. If the lion moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the lion can make one bite attack against it as a bonus action.","Running Leap. With a 10-foot running start, the lion can long jump up to 25 feet.",none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage.","Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.",prone,17 (+3),15 (+2),13 (+1),3 (?4),12 (+1),8 (?1),,"Desert,Grassland,Hill,Mountain",Unaligned,none,Monster Manual,
Lizard,0,0,TRUE,TRUE,Tiny,10,10,2 (1d4),"20 ft., climb 20 ft.",FALSE,FALSE,none,"Darkvision 30 ft., Passive Perception 9",none,none,none,none,none,"Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",none,none,2 (?4),11 (+0),10 (+0),1 (?5),8 (?1),3 (?4),,"Coast,Desert,Forest,Grassland,Hill,Mountain,Swamp,UnderDark",Unaligned,none,Monster Manual,
Male Steeder,1/4th,0.25,FALSE,TRUE,Medium,50,12,13 (2d8+4),"30 ft., climb 30 ft.",FALSE,FALSE,Stealth +5,"Passive Perception 10, Darkvision 120 ft.","Spider Climb. The steeder can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","Leap. The steeder can expend all its movement on its turn to jump up to 60 feet vertically or horizontally, provided that is speed is at least 30 feet.",none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 2) piercing damage, and the target must make a DC 12 Constitution saving throw, taking 4 (1d8) acid damage on a failed save, or half as much damage on a successful one.","Sticky Leg (Recharges when the Steeder Has No Creatures Grappled. Melee Weapon Attack: +4 to hit, reach 5 ft., one Small or Tiny creature. Hit: The target is stuck ot the steeder�s leg and grappled until it escapes (escape DC 12)","grapple, jump",15 (+2),12 (+1),14 (+2),2 (-4),10 (0),3 (-4),,Underdark,Unaligned,none,Out Of The Abyss,
Mammoth,6,6,FALSE,FALSE,Huge,2300,13,126 (11d12 + 55),40 ft.,FALSE,FALSE,none,Passive Perception 10,"Trampling Charge. If the mammoth moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 18 Strength saving throw or be knocked prone. If the target is prone, the mammoth can make one stomp attack against it as a bonus action.",none,none,none,none,"Gore. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 25 (4d8 + 7) piercing damage.","Stomp. Melee Weapon Attack: +10 to hit, reach 5 ft., one prone creature. Hit: 29 (4d10 + 7) bludgeoning damage.",prone,24 (+7),9 (?1),21 (+5),3 (?4),11 (+0),6 (?2),,Arctic,Unaligned,none,Monster Manual,
Mastiff,1/8th,0.125,FALSE,TRUE,Medium,25,12,5 (1d8 + 1),40 ft.,FALSE,FALSE,Perception +3,Passive Perception 13-18,Keen Hearing and Smell. The mastiff has advantage on Wisdom (Perception) checks that rely on hearing or smell.,none,none,none,none,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.",none,prone,13 (+1),14 (+2),12 (+1),3 (?4),12 (+1),7 (?2),,"Forest,Hill",Unaligned,none,Monster Manual,
Mule,1/8th,0.125,FALSE,TRUE,Medium,25,10,11 (2d8 + 2),40 ft.,FALSE,FALSE,none,Passive Perception 10,Beast of Burden. The mule is considered to be a Large animal for the purpose of determining its carrying capacity.,Sure-Footed. The mule has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.,none,none,none,"Hooves. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.",none,none,14 (+2),10 (+0),13 (+1),2 (?4),10 (+0),5 (?3),,"Desert,Hill",Unaligned,none,Monster Manual,
